[INFO] Scanning for projects...
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for hbase-examples:hbase-examples:jar:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 27, column 21
[WARNING] 
[WARNING] It is highly recommended to fix these problems because they threaten the stability of your build.
[WARNING] 
[WARNING] For this reason, future Maven versions might no longer support building such malformed projects.
[WARNING] 
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building hbase-examples 1.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- maven-resources-plugin:2.6:resources (default-resources) @ hbase-examples ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] Copying 0 resource
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:compile (default-compile) @ hbase-examples ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- exec-maven-plugin:1.5.0:java (default-cli) @ hbase-examples ---
Key:2015-01-05 19393 37476; Delay:44.00; Cancelled:0.00
Key:2015-01-05 19393 37478; Delay:32.00; Cancelled:0.00
Key:2015-01-05 19393 37479; Delay:143.00; Cancelled:0.00
Key:2015-01-05 19393 37481; Delay:32.00; Cancelled:0.00
Key:2015-01-05 19393 37483; Delay:27.00; Cancelled:0.00
Key:2015-01-05 19393 37486; Delay:36.00; Cancelled:0.00
Key:2015-01-05 19393 37487; Delay:36.00; Cancelled:0.00
Key:2015-01-05 19393 37586; Delay:29.00; Cancelled:0.00
Key:2015-01-05 19393 37589; Delay:95.00; Cancelled:0.00
Key:2015-01-05 19393 37590; Delay:35.00; Cancelled:0.00
Key:2015-01-05 19393 37594; Delay:38.00; Cancelled:0.00
Key:2015-01-05 19393 37597; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37601; Delay:14.00; Cancelled:0.00
Key:2015-01-05 19393 37607; Delay:30.00; Cancelled:0.00
Key:2015-01-05 19393 37609; Delay:18.00; Cancelled:0.00
Key:2015-01-05 19393 37611; Delay:37.00; Cancelled:0.00
Key:2015-01-05 19393 37615; Delay:45.00; Cancelled:0.00
Key:2015-01-05 19393 37619; Delay:68.00; Cancelled:0.00
Key:2015-01-05 19393 37620; Delay:26.00; Cancelled:0.00
Key:2015-01-05 19393 37622; Delay:11.00; Cancelled:0.00
Key:2015-01-05 19393 37627; Delay:27.00; Cancelled:0.00
Key:2015-01-05 19393 37628; Delay:28.00; Cancelled:0.00
Key:2015-01-05 19393 37630; Delay:28.00; Cancelled:0.00
Key:2015-01-05 19393 37632; Delay:51.00; Cancelled:0.00
Key:2015-01-05 19393 37633; Delay:51.00; Cancelled:0.00
Key:2015-01-05 19393 37634; Delay:13.00; Cancelled:0.00
Key:2015-01-05 19393 37637; Delay:41.00; Cancelled:0.00
Key:2015-01-05 19393 37638; Delay:16.00; Cancelled:0.00
Key:2015-01-05 19393 37641; Delay:43.00; Cancelled:0.00
Key:2015-01-05 19393 37642; Delay:24.00; Cancelled:0.00
Key:2015-01-05 19393 37643; Delay:51.00; Cancelled:0.00
Key:2015-01-05 19393 37646; Delay:49.00; Cancelled:0.00
Key:2015-01-05 19393 37647; Delay:; Cancelled:1.00
Key:2015-01-05 19393 37648; Delay:76.00; Cancelled:0.00
Key:2015-01-05 19393 37649; Delay:15.00; Cancelled:0.00
Key:2015-01-05 19393 37771; Delay:16.00; Cancelled:0.00
Key:2015-01-05 19393 37773; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37777; Delay:29.00; Cancelled:0.00
Key:2015-01-05 19393 37778; Delay:186.00; Cancelled:0.00
Key:2015-01-05 19393 37781; Delay:35.00; Cancelled:0.00
Key:2015-01-05 19393 37782; Delay:31.00; Cancelled:0.00
Key:2015-01-05 19393 37784; Delay:; Cancelled:1.00
Key:2015-01-05 19393 37786; Delay:24.00; Cancelled:0.00
Key:2015-01-05 19393 37787; Delay:95.00; Cancelled:0.00
Key:2015-01-05 19393 37788; Delay:169.00; Cancelled:0.00
Key:2015-01-05 19393 37789; Delay:16.00; Cancelled:0.00
Key:2015-01-05 19393 37790; Delay:26.00; Cancelled:0.00
Key:2015-01-05 19393 37792; Delay:12.00; Cancelled:0.00
Key:2015-01-05 19393 37795; Delay:16.00; Cancelled:0.00
Key:2015-01-05 19393 37796; Delay:22.00; Cancelled:0.00
Key:2015-01-05 19393 37797; Delay:88.00; Cancelled:0.00
Key:2015-01-05 19393 37803; Delay:55.00; Cancelled:0.00
Key:2015-01-05 19393 37806; Delay:18.00; Cancelled:0.00
Key:2015-01-05 19393 37808; Delay:19.00; Cancelled:0.00
Key:2015-01-05 19393 37812; Delay:19.00; Cancelled:0.00
Key:2015-01-05 19393 37814; Delay:33.00; Cancelled:0.00
Key:2015-01-05 19393 37819; Delay:12.00; Cancelled:0.00
Key:2015-01-05 19393 37821; Delay:39.00; Cancelled:0.00
Key:2015-01-05 19393 37822; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37826; Delay:30.00; Cancelled:0.00
Key:2015-01-05 19393 37830; Delay:52.00; Cancelled:0.00
Key:2015-01-05 19393 37832; Delay:27.00; Cancelled:0.00
Key:2015-01-05 19393 37843; Delay:13.00; Cancelled:0.00
Key:2015-01-05 19393 37844; Delay:24.00; Cancelled:0.00
Key:2015-01-05 19393 37847; Delay:66.00; Cancelled:0.00
Key:2015-01-05 19393 37852; Delay:27.00; Cancelled:0.00
Key:2015-01-05 19393 37855; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37856; Delay:16.00; Cancelled:0.00
Key:2015-01-05 19393 37857; Delay:24.00; Cancelled:0.00
Key:2015-01-05 19393 37863; Delay:44.00; Cancelled:0.00
Key:2015-01-05 19393 37865; Delay:40.00; Cancelled:0.00
Key:2015-01-05 19393 37867; Delay:34.00; Cancelled:0.00
Key:2015-01-05 19393 37873; Delay:18.00; Cancelled:0.00
Key:2015-01-05 19393 37876; Delay:18.00; Cancelled:0.00
Key:2015-01-05 19393 37877; Delay:74.00; Cancelled:0.00
Key:2015-01-05 19393 37878; Delay:64.00; Cancelled:0.00
Key:2015-01-05 19393 37879; Delay:23.00; Cancelled:0.00
Key:2015-01-05 19393 37880; Delay:44.00; Cancelled:0.00
Key:2015-01-05 19393 37881; Delay:20.00; Cancelled:0.00
Key:2015-01-05 19393 37882; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37883; Delay:13.00; Cancelled:0.00
Key:2015-01-05 19393 37886; Delay:58.00; Cancelled:0.00
Key:2015-01-05 19393 37887; Delay:32.00; Cancelled:0.00
Key:2015-01-05 19393 37889; Delay:22.00; Cancelled:0.00
Key:2015-01-05 19393 37890; Delay:29.00; Cancelled:0.00
Key:2015-01-05 19393 37892; Delay:15.00; Cancelled:0.00
Key:2015-01-05 19393 37894; Delay:101.00; Cancelled:0.00
Key:2015-01-05 19393 37895; Delay:17.00; Cancelled:0.00
Key:2015-01-05 19393 37896; Delay:23.00; Cancelled:0.00
Key:2015-01-05 19393 37898; Delay:32.00; Cancelled:0.00
Key:2015-01-05 19393 37899; Delay:40.00; Cancelled:0.00
Key:2015-01-05 19393 37900; Delay:36.00; Cancelled:0.00
Key:2015-01-05 19393 37902; Delay:32.00; Cancelled:0.00
Key:2015-01-05 19393 37903; Delay:44.00; Cancelled:0.00
Key:2015-01-05 19393 37979; Delay:79.00; Cancelled:0.00
Key:2015-01-05 19393 37980; Delay:17.00; Cancelled:0.00
